Name of facility,"City, State",Facility Type,Race,Gender ,Still in existence,Years of Existence,Deaths,Death qualifiers,Cemetery,State of cemetery,Reported on recently,Allegations of Abuse,Allegations of Forced Labor,Notes
North Dakota State Reform School,"Mandan, North Dakota",Reformatory ,Unknown,Both,Yes,1903,,,no,unknown,no,unknown,unknown,https://www.history.nd.gov/archives/stateagencies/youthcorrectional.html
New York House of Refuge,"Manhattan, New York",Reformatory ,All races but segregated,Both,No,1825-1935,101,101,Possible,unknown,no,yes ,yes ,"https://www.archives.nysed.gov/sites/archives/files/res_topics_ed_reform.pdf  
https://sk.sagepub.com/ency/edvol/raceandcrime/chpt/houses-refuge 
https://www.nytimes.com/1865/08/17/archives/the-house-of-refuge-grave-charges-of-brutal-treatment-death-said-to.html#:~:text=THE%20HOUSE%20OF%20REFUGE.;%20GRAVE,CANNON 
https://www.findagrave.com/cemetery/2692282/memorial-search?cemeteryName=New+York+House+of+Refuge+Grounds+Cemetery&page=2#sr-203000789 "
Florida State Reform School ,"Marianna, Florida",Reformatory ,All races but segregated,Boys ,No,1900-2011,77,50 found.. find a grave says 77 memorials,yes,maintained,yes ,yes ,yes ,"https://guides.lib.usf.edu/dozier#:~:text=The%20project%20has%20resulted%20in:%20*%20Documenting,school%20in%20the%20country%20at%20the%20time. https://www.findagrave.com/cemetery/2335290/florida-industrial-school-for-boys-cemetery "
Connecticut School for Boys,"Meriden, Connecticut",Reformatory ,All races,Boys ,No,1855-1995,30,"plaque says 30 to 40, which I take as more demonstrative than memorials on find a grave exist (25)",yes,maintained,no,yes ,unknown,"marker exists on site
https://www.findagrave.com/cemetery/1993727/connecticut-school-for-boys-burial-ground 
https://www.facebook.com/groups/269020552940/posts/10156438912737941/ 
https://www.facebook.com/groups/269020552940/posts/10159060767637941/ 
https://www.nytimes.com/1930/03/05/archives/school-brutality-to-be-investigated-governor-trumbull-acts-on.html#:~:text=SCHOOL%20BRUTALITY%20TO%20BE%20INVESTIGATED;%20Governor%20Trumbull,Member%20to%20Sift%20the%20Treatment%20of%20Boys "
Industrial School for Girls,"Middletown, Connecticut",Reformatory ,All races,Girls ,No,1868-1998,27,27,yes,maintained,no,yes ,unknown,"Girls risked sexual abuse while being paroled out: https://digitalcollections.wesleyan.edu/_flysystem/fedora/2023-03/22377-Original%20File.pdf
https://www.findagrave.com/cemetery/1997842/industrial-school-for-girls-cemetery "
State Reform School ,"Milest City, Montana",Reformatory ,Unknown,Both,Yes,1893-,,,no,unknown,no,yes ,unknown,https://archiveswest.orbiscascade.org/ark:80444/xv81402
Augusta Reformatory,"Augusta, Georgia",Reformatory ,Black youth,Boys ,Unknown,1930s,,,no,unknown,no,unknown,unknown,https://djj.georgia.gov/about-us/brief-history-djj
Adamsville Reformatory,"Atlanta, Georgia",Reformatory ,Unknown,Girls ,Unknown,1930s,,,no,unknown,no,unknown,unknown,https://djj.georgia.gov/about-us/brief-history-djj
Georgia State Reformatory,"Milledgeville, Georgia",Reformatory ,All races but segregated,Boys ,No,1905-2009,,,no,unknown,no,unknown,unknown,https://djj.georgia.gov/about-us/brief-history-djj
Kansas State Industrial School For Girls,"Beloit, Kansas",Industrial School,Unknown,Girls ,No,1889-2009,1,1,Possible,unknown,no,yes ,unknown,"https://pubmed.ncbi.nlm.nih.gov/37595254/
https://www.nbcnews.com/id/wbna33461470 
https://www.findagrave.com/memorial/105926184/edna-colebaugh "
The Maine Industrial School for Girls,"Hallowell, Maine",Industrial School,Unknown,Girls ,No,1876-1970,16,16,yes,maintained,no,yes ,unknown,"https://www.findagrave.com/virtual-cemetery/102759?page=1#sr-40047177
https://livingnewdeal.org/sites/old-state-girls-school-hallowell-me/ 
https://www.facebook.com/groups/2107225159500244/posts/3842198529336223/"
New Jersey Training School (TS START) ,"Monroe Township, New Jersey",Industrial School,Black youth,Boys ,No,1886 - 1955 ,Unknown ,Unknown ,no,SELECT,no,yes ,no,It was initially called New Jersey Industrial and Manual  Training School For Colored Youth 
Swanson Center for Youth at Monroe,"Monroe, Louisiana",Industrial School,White youth ,Boys ,SELECT,1907 - present ,Unknown ,Unknown ,no,SELECT,yes ,yes ,no,https://www.knoe.com/2026/01/14/supervisor-arrested-introducing-contraband-into-swanson-center-youth/ https://www.facebook.com/100064287775653/posts/swanson-center-for-youth-in-monroein-1902-legislation-authorized-the-state-penit/1254719103347670/. 
Alabama Industrial School for Negro Children,"Mount Meigs, Alabama",Reformatory ,Black youth,Both,SELECT,during reconstruction period - present (under different name) ,Unknown ,Unknown ,no,SELECT,yes ,yes ,yes ,"The original Alabama Industrial School for Negro Children in Mt. Meigs is no longer in existence under that name, but the facility remains open and operational. It was renamed and integrated, now functioning as a state youth facility under the Alabama Department of Youth Services. Link to 2023 Unreformed podcast about the facility: https://www.wwno.org/news/2023-02-08/unreformed-podcast-tells-the-largely-untold-story-of-an-abusive-alabama-reform-school"
TN Vocational School for Colored Girls,"Nashville, Tennessee",Correctional,Black youth,Girls ,"SELECT, No",1923 - 1979 ,Unknown ,Unknown ,no,SELECT,no,yes ,no,Link to info about the school 
Genoa Indian Industrial School ,Nebraska,Industrial School,Native Americans ,Boys ,No,1884 - 1931 ,102,fina a grave says 10 memorials ,yes,abandoned,yes ,yes ,yes ,Link to general info about facility. Link to NYT article about the death count Link to another article about death count 
Colored Waif's Home,"New Orleans, Louisiana",Reformatory,Black youth,Boys ,No,1904  - unknown ,Unknown ,Unknown ,no,SELECT,no,unknown,unknown,
New York Training School for Boys ,New York,Correctional,All races,Boys ,No,1933 - 1976 (different name) ,15 (atleast) ,15 (atleast) ,yes,abandoned,no,yes ,unknown,"Yes, the New York State Training School for Boys (later known as the Industry School) in Monroe County did have a cemetery, Condition: The site, referred to as the Industry cemetery, fell into disrepair with broken headstones and overgrown weeds after the state sold the land in 1993."
Florida Industrial School for Girls,"Ocala, Florida",Industrial School,White youth ,Girls ,"SELECT, No",1915 - 1984 (different name),98 (atleast) ,98 (atleast) ,Possible,SELECT,no,yes ,yes ,later known as the McPherson School for Girls
Utah Territorial Reform School,"Ogden, Utah",Industrial School,All races,Both,No,1889 - 1983 (different name) ,Unknown ,Unknown ,no,SELECT,no,yes ,yes ,
Wisconsin Industrial School for Girls,"Oregon, Wisconsin",Industrial School,White youth ,Girls ,No,1875 - 1945 ,Unknown ,Unknown ,no,SELECT,no,yes ,yes ,
Pauls Valley State School,"Pauls Valley, Oklahoma",Correctional,White youth ,Boys ,No,1907 - 2015 ,Unknown ,Unknown ,no,SELECT,no,yes ,unknown,
Philadelphia House of Refuge,"Philadelphia, Pennsylvania",Reformatory,White youth ,Both,No,"1826 - present (different name, different operation) ",Unknown ,Unknown ,no,SELECT,no,yes ,yes ,"The original Philadelphia House of Refuge (founded 1826) does not exist in its original form, but it evolved into the Glen Mills Schools in 1911. The original institution was part of an early juvenile reform movement, moving locations several times before changing its name to reflect modern educational approaches for troubled youth"
Tennessee Reformatory for Negro Boys,"Pikeville, Tennessee",Reformatory,Black youth,Boys ,No,1918 - unknown ,Unknown ,Unknown ,no,SELECT,no,yes ,yes ,One boy lynched:https://repository.library.northeastern.edu/downloads/neu:m0426450c? datastream_id=content 
Indiana Boys School,"Plainfield, Indiana",Reformatory,White youth ,Boys ,No,1867 - 2005 ,59,got the number from find a grave ,yes,maintained,no,yes ,yes ,https://www.plainfieldlibrary.net/wp-content/uploads/2017/03/Deaths-at-Indiana-Boys-School-1869-1932.pdf
South Dakota Reform School,"Plankington, South Dakota",Correctional,White youth ,Both,No,1888 - 2001 ,Unknown ,Unknown ,no,SELECT,no,yes ,yes ,
Illinois Boys Reformatory School ,"Pontiac, Illinois",Reformatory,All races but segregated,Boys ,Yes,"1871 - present (different name, adult penal institution)",Uknown ,Unknown ,no,SELECT,no,unknown,unknown,"Link about facility, Additional info "
Providence Reform School,"Providence, Rhode Island",Reformatory,All races,Both,No,1850 - 1881 ,Unknown ,Unknown ,no,SELECT,no,unknown,unknown,
Oakley Youth Development Center,"Raymond, Mississippi",Reformatory,All races,Both,Yes,1894 - present ,Unknown ,Unknown ,no,SELECT,no,yes ,unknown,
Minnesota Correctional Facility,"Red Wing, Minnesota",Reformatory,All races,Both,SELECT,1866 (different name) - present (current name) ,Unknown ,Unknown ,no,SELECT,no,yes ,yes ,
Rhode Island Training School for Boys,Rhode Island,Reformatory,All races but segregated,Boys ,"SELECT, Yes",1881 (different name) - 1985 ,almost 100 ,almost 100 ,yes,maintained,yes ,yes ,no,"The Rhode Island Training School (RITS), historically known as the Sockanosset School for Boys, still exists as a secure, state-run juvenile correctional facility for male and female youth. Located in Cranston, it functions as a detention and rehabilitation center, providing education and behavioral health services."
Bon Air Juvenile Corrections Center,"Richmond, Virginia",Correctional,White youth ,Girls ,SELECT,1910 (different name)- present ,Unknown ,Unknown ,no,SELECT,yes ,yes ,yes , original name: virginia Home and Industrial School for Girls https://www.vpm.org/news/2025-04-09/virginia-juvenile-justice-staffing-shortage-bon-air-jcc-vadoc-la-ky
Western House of Refuge,"Rochester, New York",Reformatory,All races,Both,No,1849 - 1939 ,Unknown ,Unknown ,no,SELECT,no,yes ,yes ,
State Reform School for Girls,"Salem, Iowa",Reformatory,White youth ,Girls ,No,1869 - unknown ,Unknown ,Unknown ,no,SELECT,no,yes ,yes ,
Wyoming Girls School,"Sheridan, Wyoming",Industrial School,All races,Girls ,Yes,unknown ,Unknown ,Unknown ,no,SELECT,no,unknown,unknown,
Long Creek Youth Development Center,"South Portland, Maine",Correctional,White youth ,Boys ,Yes,1853 - present ,1,1,no,SELECT,no,yes ,no,suicide death 
"Juvenile Corrections Center, St. Anthony","St. Anthony, Idaho",Correctional,All races,Both,Yes,1903 - present ,1,1,no,SELECT,yes ,yes ,no,"https://www.eastidahonews.com/2021/12/parents-sue-idaho-department-of-juvenile-corrections-after-son-died-of-sepsis/#:~:text=Getting%20your%20Trinity%20Audio%20player,problems%20reportedly%20unfolded%20on%20Nov. "
