uid,nces_school_id,school_name,nces_district_id,district_name,date,school_year,year,time,day_of_week,city,state,school_type,enrollment,killed,injured,casualties,shooting_type,age_shooter1,gender_shooter1,race_ethnicity_shooter1,shooter_relationship1,shooter_deceased1,deceased_notes1,age_shooter2,gender_shooter2,race_ethnicity_shooter2,shooter_relationship2,shooter_deceased2,deceased_notes2,white,black,hispanic,asian,american_indian_alaska_native,hawaiian_native_pacific_islander,two_or_more,resource_officer,weapon,weapon_source,lat,long,staffing,low_grade,high_grade,lunch,county,state_fips,county_fips,ulocale
192,063417005375,North Park Elementary School,0634170,San Bernardino City Unified,4/10/2017,2016-2017,2017,10:30:00,Monday,San Bernardino,California,public,531,2,1,3,targeted,53,m,b,husband of teacher,1,suicide,NA,NA,NA,NA,NA,NA,61,60,360,9,3,0,38,0,Smith & Wesson .357 Magnum revolver,NA,34.179206,-117.301804,19,KG,6,407,San Bernardino County,06,06071,12
197,530297000485,Freeman High School,5302970,Freeman School District,9/13/2017,2017-2018,2017,10:00:00,Wednesday,Rockford,Washington,public,330,1,3,4,indiscriminate,15,m,w,student,0,NA,NA,NA,NA,NA,NA,NA,282,7,23,5,4,0,9,1,"AR-15, pistol",father,47.519667,-117.19638,16.61,9,12,69,Spokane County,53,53063,42
202,350015000135,Aztec High School,3500150,Aztec Municipal Schools,12/7/2017,2017-2018,2017,08:04:00,Thursday,Aztec,New Mexico,public,905,2,0,2,indiscriminate,21,m,w,former student,1,suicide,NA,NA,NA,NA,NA,NA,495,7,225,2,170,2,4,0,9mm Glock,legally purchased by shooter,36.820644,-107.990379,52.5,9,12,432,San Juan County,35,35045,31
206,210381000976,Marshall County High School,2103810,Marshall County,1/23/2018,2017-2018,2018,07:57:00,Tuesday,Benton,Kentucky,public,1384,2,14,16,indiscriminate,15,m,w,student,0,NA,NA,NA,NA,NA,NA,NA,1353,1,14,2,3,0,11,1,handgun,stepfather's bedroom,36.912835,-88.332917,73.1,9,12,584,Marshall County,21,21157,42
209,120018002721,Marjory Stoneman Douglas High School,1200180,Broward,2/14/2018,2017-2018,2018,14:21:00,Wednesday,Parkland,Florida,public,3158,17,17,34,indiscriminate,19,m,w,former student (expelled),0,NA,NA,NA,NA,NA,NA,NA,1871,364,623,210,17,2,71,1,Smith & Wesson M&P15,legally purchased by shooter,26.304483,-80.269365,129,9,12,710,Broward County,12,12011,21
211,010039000141,Huffman High School,0100390,Birmingham City,3/7/2018,2017-2018,2018,15:45:00,Wednesday,Birmingham,Alabama,public,1433,1,0,1,accidental,17,m,b,student,0,NA,NA,NA,NA,NA,NA,NA,13,1341,63,2,6,0,8,1,pistol,NA,33.61291,-86.682,66,9,12,775,Jefferson County,01,01073,12
215,240060001224,Great Mills High School,2400600,St. Mary's County Public Schools,3/20/2018,2017-2018,2018,07:55:00,Tuesday,Great Mills,Maryland,public,1535,1,1,2,targeted,17,m,w,student,1,suicide,NA,NA,NA,NA,NA,NA,657,577,121,76,4,1,99,1,Glock semi-automatic handgun,father,38.24743,-76.4875,86.3,9,12,554,St. Mary's County,24,24037,23
220,483927004473,Santa Fe High School,4839270,Santa Fe ISD,5/18/2018,2017-2018,2018,07:30:00,Friday,Santa Fe,Texas,public,1462,10,13,23,indiscriminate,17,m,w,student,0,NA,NA,NA,NA,NA,NA,NA,1136,10,278,8,9,1,20,1,Remington 870 shotgun and a .38-caliber revolver,NA,29.393257,-95.143149,83.38,9,12,287,Galveston County,48,48167,22
223,320006000567,Canyon Springs High School,3200060,Clark County School District,9/11/2018,2018-2019,2018,14:35:00,Tuesday,North Las Vegas,Nevada,public,2887,1,0,1,targeted,16,m,b,student,0,NA,NA,NA,NA,NA,NA,NA,154,793,1757,56,4,18,105,1,NA,NA,36.233566,-115.135695,115,9,12,2321,Clark County,32,32003,21
227,370297002324,Butler High School,3702970,Charlotte-Mecklenburg Schools,10/29/2018,2018-2019,2018,07:00:00,Monday,Matthews,North Carolina,public,2133,1,0,1,targeted,16,m,b,student,0,NA,NA,NA,NA,NA,NA,NA,860,681,410,86,9,1,86,1,.380 pistol,stolen,35.1203,-80.6916,114.21,9,12,876,Mecklenburg County,37,37119,21
239,080345006493,STEM School Highlands Ranch,0803450,Douglas County School District NO. Re 1,5/7/2019,2018-2019,2019,13:52:00,Tuesday,Highlands Ranch,Colorado,public,1850,1,8,9,indiscriminate,16,m,w,student,0,NA,18,m,w,student,0,NA,1074,5,184,242,5,1,87,1,"Glock 21 .45-caliber semi-automatic pistol, Beretta M9 9mm semi-automatic pistol, Taurus Revolver and a Ruger 10/22 .22-caliber semi-automatic rifle",parent,39.5559,-104.9979,82.62,KG,12,89,Douglas County,08,08035,21
284,NA,Esteban Torres High School,0622710,NA,11/13/2019,2019-2020,2019,09:00:00,Wednesday,Los Angeles,California,public,1876,1,0,1,targeted,NA,NA,NA,sheriff's deputy,NA,NA,NA,NA,NA,NA,NA,NA,9,20,1836,8,2,0,1,1,NA,police,34.041846,-118.175531,97.75,9,12,1802,Los Angeles County,06,06037,21
248,064251006961,Saugus High School,0642510,William S. Hart Union High,11/14/2019,2019-2020,2019,07:38:00,Thursday,Saugus,California,public,2441,2,3,5,indiscriminate,16,m,NA,student,1,suicide,NA,NA,NA,NA,NA,NA,1294,47,772,176,3,1,148,NA,.45 caliber 1911 pistol,ghost gun,34.441924,-118.518128,93.98,9,12,406,Los Angeles County,06,06037,21
254,482364002397,Bellaire High School,4823640,Houston ISD,1/14/2020,2019-2020,2020,16:00:00,Tuesday,Bellaire,Texas,public,3487,1,0,1,accidental,16,m,NA,student,0,NA,NA,NA,NA,NA,NA,NA,722,695,1520,469,8,3,70,NA,.32 caliber semi-automatic pistol,NA,29.692163,-95.469159,203.32,9,12,1665,Harris County,48,48201,21
263,51393001212,Watson Chapel Junior High,0513930,Watson Chapel School District,3/1/2021,2020-2021,2021,09:55:00,Monday,Pine Bluff,Arkansas,public,615,1,0,1,targeted,15,m,b,NA,NA,NA,NA,NA,NA,NA,NA,NA,91,498,12,11,0,0,3,NA,handgun,NA,34.189927,-92.065921,43.53,7,9,488,Jefferson County,05,05069,41
271,100162000141,Smyrna Middle School,1001620,Smyrna School District,4/27/2021,2020-2021,2021,10:25:00,Tuesday,Smyrna,Delaware,public,984,1,0,1,targeted,47,m,b,NA,NA,NA,NA,NA,NA,NA,NA,NA,571,286,76,16,0,2,33,NA,handgun,NA,39.302595,-75.623778,64,7,8,NA,Kent County,10,10001,41
272,360106506342,Urban Dove Team Charter School,3601065,Urban Dove Team Charter School,4/29/2021,2020-2021,2021,14:45:00,Thursday,Brooklyn,New York,public,313,1,0,1,targeted,15,m,b,NA,NA,NA,16,m,b,NA,NA,NA,3,218,81,1,10,0,0,NA,NA,NA,40.622473,-73.954975,24,10,12,268,Kings County,36,36047,11
287,350006000118,Washington Middle School,3500060,Albuquerque Public Schools,8/13/2021,2021-2022,2021,12:45:00,Friday,Albuquerque,New Mexico,public,442,1,0,1,targeted,13,m,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,6,407,4,5,1,5,NA,handgun,NA,35.086144,-106.661691,34.4,6,8,442,Bernalillo County,35,35001,11
290,370150000623,Mount Tabor High School,3701500,Winston Salem / Forsyth County Schools,9/1/2021,2021-2022,2021,12:00:00,Wednesday,Winston-Salem,North Carolina,public,1491,1,0,1,targeted,15,m,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,509,628,252,16,5,2,79,NA,NA,NA,36.1268,-80.3132,81.76,9,12,595,Forsyth County,37,37067,12
304,262724006338,Oxford High School,2627240,Oxford Community Schools,11/30/2021,2021-2022,2021,12:50:00,Tuesday,Oxford,Michigan,public,1872,4,7,11,indiscriminate,15,m,w,student,0,NA,NA,NA,NA,NA,NA,NA,1549,53,186,30,1,5,48,NA,9mm handgun,parent,42.838243,-83.260782,81.8,9,12,451,Oakland County,26,26125,21
317,421917006047,Oliver Citywide Academy,4219170,Pittsburgh Sd,1/19/2022,2021-2022,2022,13:45:00,Wednesday,Pittsburgh,Pennsylvania,public,105,1,0,1,targeted,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,85,0,0,0,0,11,NA,NA,NA,40.464327,-80.024121,22.63,3,12,86,Allegheny County,42,42003,11
323,270002502871,South Education Center,2700025,Intermediate School District 287,2/1/2022,2021-2022,2022,12:07:00,Tuesday,Richfield,Minnesota,public,71,1,1,2,targeted,19,m,h,student,NA,NA,18,m,h,NA,NA,NA,15,17,27,2,1,1,8,NA,NA,NA,44.868045,-93.310844,8.2,PK,12,47,Hennepin County,27,27053,21
